year,month,current_month_sales,prev_month_sales,diff_sales_month,pct_change
2010,1,808465,NULL,NULL,NULL
2010,2,803881,808465,-4584,-0.57
2010,3,935755,803881,131874,16.40
2010,4,913059,935755,-22696,-2.43
2010,5,940559,913059,27500,3.01
2010,6,920090,940559,-20469,-2.18
2010,7,937561,920090,17471,1.90
2010,8,938282,937561,721,0.08
2010,9,889482,938282,-48800,-5.20
2010,10,912209,889482,22727,2.56
2010,11,941818,912209,29609,3.25
2010,12,1102999,941818,161181,17.11
2011,1,864224,1102999,-238775,-21.65
2011,2,875961,864224,11737,1.36
2011,3,1000828,875961,124867,14.25
2011,4,974015,1000828,-26813,-2.68
2011,5,994961,974015,20946,2.15
2011,6,987820,994961,-7141,-0.72
2011,7,984052,987820,-3768,-0.38
2011,8,1008561,984052,24509,2.49
2011,9,957259,1008561,-51302,-5.09
2011,10,969187,957259,11928,1.25
2011,11,1002754,969187,33567,3.46
2011,12,1170217,1002754,167463,16.70
2012,1,911577,1170217,-258640,-22.10
2012,2,964627,911577,53050,5.82
2012,3,1070149,964627,105522,10.94
2012,4,1004362,1070149,-65787,-6.15
2012,5,1072506,1004362,68144,6.78
2012,6,1031315,1072506,-41191,-3.84
2012,7,1022090,1031315,-9225,-0.89
2012,8,1078456,1022090,56366,5.51
2012,9,989268,1078456,-89188,-8.27
2012,10,1019470,989268,30202,3.05
2012,11,1058403,1019470,38933,3.82
2012,12,1200251,1058403,141848,13.40
2013,1,971233,1200251,-229018,-19.08
2013,2,972337,971233,1104,0.11
2013,3,1097242,972337,124905,12.85
2013,4,1052174,1097242,-45068,-4.11
2013,5,1126021,1052174,73847,7.02
2013,6,1072516,1126021,-53505,-4.75
2013,7,1095943,1072516,23427,2.18
2013,8,1133572,1095943,37629,3.43
2013,9,1021712,1133572,-111860,-9.87
2013,10,1073603,1021712,51891,5.08
2013,11,1102692,1073603,29089,2.71
2013,12,1237842,1102692,135150,12.26
2014,1,991810,1237842,-246032,-19.88
2014,2,992835,991810,1025,0.10
2014,3,1134951,992835,142116,14.31
2014,4,1118371,1134951,-16580,-1.46
2014,5,1188953,1118371,70582,6.31
2014,6,1120705,1188953,-68248,-5.74
2014,7,1154728,1120705,34023,3.04
2014,8,1182715,1154728,27987,2.42
2014,9,1093088,1182715,-89627,-7.58
2014,10,1139100,1093088,46012,4.21
2014,11,1149089,1139100,9989,0.88
2014,12,1319823,1149089,170734,14.86
2015,1,1057048,1319823,-262775,-19.91
2015,2,1032640,1057048,-24408,-2.31
2015,3,1187840,1032640,155200,15.03
2015,4,1159878,1187840,-27962,-2.35
2015,5,1224572,1159878,64694,5.58
2015,6,1179793,1224572,-44779,-3.66
2015,7,1212380,1179793,32587,2.76
2015,8,1216050,1212380,3670,0.30
2015,9,1143644,1216050,-72406,-5.95
2015,10,1180391,1143644,36747,3.21
2015,11,1181417,1180391,1026,0.09
2015,12,1372902,1181417,191485,16.21
2016,1,1069916,1372902,-302986,-22.07
2016,2,1114465,1069916,44549,4.16
2016,3,1230402,1114465,115937,10.40
2016,4,1194811,1230402,-35591,-2.89
2016,5,1237191,1194811,42380,3.55
2016,6,1220825,1237191,-16366,-1.32
2016,7,1227132,1220825,6307,0.52
2016,8,1256983,1227132,29851,2.43
2016,9,1185399,1256983,-71584,-5.69
2016,10,1196675,1185399,11276,0.95
2016,11,1233982,1196675,37307,3.12
2016,12,1428305,1233982,194323,15.75
2017,1,1116513,1428305,-311792,-21.83
2017,2,1111862,1116513,-4651,-0.42
2017,3,1281407,1111862,169545,15.25
2017,4,1223511,1281407,-57896,-4.52
2017,5,1298478,1223511,74967,6.13
2017,6,1266599,1298478,-31879,-2.46
2017,7,1258636,1266599,-7963,-0.63
2017,8,1295044,1258636,36408,2.89
2017,9,1236770,1295044,-58274,-4.50
2017,10,1249127,1236770,12357,1.00
2017,11,1302484,1249127,53357,4.27
2017,12,1465260,1302484,162776,12.50
2018,1,1164064,1465260,-301196,-20.56
2018,2,1145362,1164064,-18702,-1.61
2018,3,1341478,1145362,196116,17.12
2018,4,1250097,1341478,-91381,-6.81
2018,5,1372495,1250097,122398,9.79
2018,6,1320459,1372495,-52036,-3.79
2018,7,1319077,1320459,-1382,-0.10
2018,8,1361999,1319077,42922,3.25
2018,9,1242173,1361999,-119826,-8.80
2018,10,1303996,1242173,61823,4.98
2018,11,1348691,1303996,44695,3.43
2018,12,1464965,1348691,116274,8.62
2019,1,1191929,1464965,-273036,-18.64
2019,2,1159502,1191929,-32427,-2.72
2019,3,1354836,1159502,195334,16.85
2019,4,1316022,1354836,-38814,-2.86
2019,5,1413401,1316022,97379,7.40
2019,6,1341475,1413401,-71926,-5.09
2019,7,1380400,1341475,38925,2.90
2019,8,1423023,1380400,42623,3.09
2019,9,1281508,1423023,-141515,-9.94
2019,10,1353926,1281508,72418,5.65
2019,11,1387312,1353926,33386,2.47
2019,12,1525343,1387312,138031,9.95
2020,1,1246730,1525343,-278613,-18.27
2020,2,1223896,1246730,-22834,-1.83
2020,3,1211825,1223896,-12071,-0.99
2020,4,1022790,1211825,-189035,-15.60
2020,5,1299042,1022790,276252,27.01
2020,6,1363674,1299042,64632,4.98
2020,7,1408502,1363674,44828,3.29
2020,8,1404475,1408502,-4027,-0.29
2020,9,1365543,1404475,-38932,-2.77
2020,10,1413496,1365543,47953,3.51
2020,11,1386204,1413496,-27292,-1.93
2020,12,1560409,1386204,174205,12.57
2021,1,1320849,1560409,-239560,-15.35
2021,2,1251667,1320849,-69182,-5.24
2021,3,1622440,1251667,370773,29.62
2021,4,1597126,1622440,-25314,-1.56
2021,5,1631261,1597126,34135,2.14
2021,6,1602803,1631261,-28458,-1.74
2021,7,1599645,1602803,-3158,-0.20
2021,8,1582133,1599645,-17512,-1.09
2021,9,1517034,1582133,-65099,-4.11
2021,10,1584130,1517034,67096,4.42
2021,11,1619408,1584130,35278,2.23
2021,12,1762069,1619408,142661,8.81
2022,1,1468692,1762069,-293377,-16.65
2022,2,1443111,1468692,-25581,-1.74
2022,3,1692150,1443111,249039,17.26
2022,4,1681507,1692150,-10643,-0.63
2022,5,1717181,1681507,35674,2.12
2022,6,1701199,1717181,-15982,-0.93
2022,7,1686320,1701199,-14879,-0.87
2022,8,1731018,1686320,44698,2.65
2022,9,1634252,1731018,-96766,-5.59
2022,10,1691083,1634252,56831,3.48
2022,11,1701974,1691083,10891,0.64
2022,12,1843695,1701974,141721,8.33
