industry,kind_of_business,total_sales,rnk
Automotive,"Motor vehicle and parts dealers",14531121,1
Automotive,"Automobile and other motor vehicle dealers",13310756,2
"Fashion & Accessories","Clothing and clothing access. stores",3302936,1
"Fashion & Accessories","Clothing stores",2376400,2
"Food & Beverage","Food and beverage stores",9451004,1
"Food & Beverage","Grocery stores",8463197,2
"Fuel & Gasoline","Gasoline stations",6811521,1
"Fuel & Gasoline","Fuel dealers",468391,2
"General Merchandise","General merchandise stores",9038491,1
"General Merchandise","Other general merchandise stores",7031707,2
"Health & Personal Care","Health and personal care stores",4149035,1
"Health & Personal Care","Pharmacies and drug stores",3467545,2
"Home Goods & Building Supplies","Building mat. and garden equip. and supplies dealers",4586452,1
"Home Goods & Building Supplies","Building mat. and supplies dealers",3989273,2
"Home Goods & Electronics","Electronic shopping and mail-order houses",7351761,1
"Home Goods & Electronics","Furniture, home furn, electronics, and appliance stores",2674826,2
Miscellaneous,"Nonstore retailers",8511856,1
Miscellaneous,"Miscellaneous store retailers",1647290,2
"Office Supplies & Gifts","Office supplies, stationery, and gift stores",405487,1
"Office Supplies & Gifts","Gift, novelty, and souvenir stores",226192,2
"Restaurants & Bars","Food services and drinking places",8635492,1
"Restaurants & Bars","Restaurants and other eating places",7541873,2
"Sports & Recreation","Sporting goods, hobby, musical instrument, and book stores",1123028,1
"Sports & Recreation","Sporting goods stores",623857,2
